; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
  13.60809 ,   41.72252 , ""the Store"(Sora)FR->+390776832896"
  12.34752 ,   41.77354 , "2002 Di Siliato Giorgio(Roma)RM->+39065216701"
  12.59886 ,   41.80707 , "Clementi Giovanni(Ciampino)RM->+39067915678"
  12.58894 ,   41.81877 , "Big Models S.r.l. Commercio Ingrosso(Ciampino)RM->+390679320403"
  12.48028 ,   41.85667 , "Rossi Di Rossi Stefano(Roma)RM->+39065417302"
  12.48056 ,   41.85667 , "Rossi Di Rossi Stefano(Roma)RM->+390697251950"
  12.09920 ,   42.42434 , "Mastrogeppetto(Viterbo)VT->+390761308185"
  12.43417 ,   41.89917 , "Di Piromalli Luigi(Roma)RM->+39066634966"
  12.45417 ,   41.87556 , "Elymania A. Sonnino(Roma)RM->+3906535160"
  12.45806 ,   41.86278 , "Cm Di A. Sergio(Roma)RM->+39065582696"
  12.45917 ,   41.90694 , "Giorni(Roma)RM->+39063217145"
  12.46556 ,   41.86611 , "Palazzoli(Roma)RM->+39065566917"
